뜻,단어,품사
더하기의 -외에,plus,CC
시,poem,NN
시인,poet,NN
독,poison,NN
남극의,polar,NN
폴란드사람,pole,NN
정책,policy,NN
공손한,polite,NN
정치,politics,NNS
투표,poll,NN
-을 더럽히다,pollute,NN
"못, 연못",pond,NN
판돈,pool,NN
팝,pop,NN
"민중 의, 대중의",popular,JJ
인구,population,NN
돼지고기,pork,NN
"항구, 항만, 상항",port,NN
초상,portrait,NN
"자세, 포즈  마음가짐  꾸민 태도",pose,NN
위치,position,NN
"명확한, 의문의 여지가 없는, 부정할 수 없는",positive,JJ
소유하다,possess,NN
가능한,possible,JJ
기둥,post,NN
포스터,poster,NN
단지,pot,NN
가능한,potential,JJ
따르다,pour,NN
가루,powder,NN
실제의,practical,JJ
연습,practice,NN
칭찬,praise,NN
빌다,pray,NN
비싼,precious,JJ
정확한,precise,NN
"예언하다, 예보하다 예언하다",predict,NN
"오히려 …을 좋아하다,",prefer,NN
임신한 충만한,pregnant,NN
"준비하 다, 마련하다, 채비를 갖추다",prepare,NN
"명령하다, 지령하다",prescribe,NN
"존재, 현존, 실재  출석, 임석, 참석",presence,NN
"보호하다, 지키다",preserve,NN
대통령 회장,president,NN
강제로 모집하다,press,NN
핑계삼다,pretend,NN
"막다, 방해하다",prevent,NN
"앞의, 이전의",previous,JJ
먹이,prey,NN
"값, 가격, 대가, 정가",price,NN
자존심,pride,NN
성직자,priest,NN
"첫째의, 제1위의, 수위의 초등의, 초보의",primary,NN
"수위의, 최초의, 원시적인",prime,NN
"원시의, 초기의",primitive,NN
"주요한, 주된, 제일의, 앞장서는",principal,NN
"원리, 원칙, 법칙, 공리",principle,NN
교도소,prison,NN
"남의 눈을 피함, 은거, 은둔, 은퇴 생활 사생활",privacy,NN
"사적인, 사사로운, 개인에 속한",private,JJ
"아마, 십중팔구",probably,RB
"나아가다, 가다",proceed,NN
"진행, 작용",process,NN
"생산하다, 산출하다, 생기게 하다,",produce,NN
"직업 공언, 선언, 고백",profession,NN
교수,professor,NN
"이익, 이득, 벌이",profit,NN
"진행, 전진, 진척  진보, 향상, 발달, 발전",progress,NN
"약속, 서약, 계약",promise,NN
"승진시키다 진행시키다,",promote,NN
"발음하다, 음독하다",pronounce,NN
증명,proof,NN
"고유의, 독특한, 본연의,  특유한",proper,NN
"재산, 자산",property,NN
"제의하다, 제출하다 추천하다, 지명하다",propose,NN
"전망, 조망, 경치",prospect,NN
"보호하다, 막다, 지키다, 비호하다",protect,NN
IG1s,protein,NN
단언하다,protest,NN
"뽐내는, 자랑하는 자긍하는, 영광 으로 여기는",proud,NN
"시험하다, 실험하다, 경험하다, 시험해 보다",prove,NN
"준비하다, 미리 …에 대비하다  규정하다",provide,NN
"주, 성, 도  범위, 영역, 분야",province,NN
심리학,psychology,NN
펍,pub,NN
"심리, 심리 상태",public,NN
"발표 하다, 널리 알리다",publish,NN
"끌다, 당기다, 끌어 당기다, 잡아 끌다",pull,NN
펌프스   댄스용 구두,pump,NN
"주먹질, 펀치  힘, 활기",punch,NN
"벌하다, 응징하다, 처형하다",punish,NN
흔히 국민학교 중학교 학생,pupil,NN
"사다, 구입하다",purchase,NN
"순수한  깨끗한, 순전한, 결백한",pure,NN
자줏빛의  새빨간  제왕의,purple,NN
목적,purpose,NN
"쫓다, 추적하다, 몰다",pursue,NN
자격을 부여하다,qualify,VB
질,quality,NN
양,quantity,NN
1,quarter,NN
"(의무,책임을)벗어난 떠나다",quit,NN
아주,quite,RB
인종(상)의,racial,JJ
가로장,rail,NN
올리다,raise,NN
닥치는 대로의,random,NN
줄,range,NN
열,rank,NN
빠른,rapid,JJ
희귀한,rare,NN
쥐,rat,NN
율,rate,NN
오히려,rather,RB
날것의,raw,NN
도착하다,reach,NN
반응을 나타내다,react,NN
실재하는,real,JJ
깨닫다,realize,VB
이성,reason,NN
되부르다,recall,NN
수령,receipt,NN
받다,receive,NN
최근의,recent,JJ
받음,reception,NN
조리법,recipe,NN
인정하다,recognize,VB
추천하다,recommend,NN
기록하다,record,NN
되찾다,recover,NN
재생 이용하다,recycle,NN
줄이다,reduce,VB
조회시키다,refer,NN
반사하다,reflect,NN
개정(개혁)하다,reform,NN
냉장고,refrigerator,NN
거절하다,refuse,NN
주목해서 보다,regard,NN
지방,region,NN
기록,register,NN
유감,regret,NN
규칙적인,regular,JJ
거절하다,reject,NN
이야기하다,relate,NN
친척,relative,NN
늦추다,relax,NN
도와주다,release,NN
구출하다,relieve,NN
종교,religion,NN
믿다,rely,RB
남다,remain,NN
깨닫다,remark,NN
치료,remedy,NN
생각나게 하다,remind,NN
먼,remote,NN
옮기다,remove,VB
지대,rent,NN
수선(수정)하다,repair,NN
반복하다,repeat,NN
되돌려 놓다,replace,VB
대답하다,reply,NN
보고,report,NN
표현(묘사)하다,represent,NN
공화국,republic,NN
부탁하다,request,NN
요구하다,require,NN
구하다,rescue,NN
연구,research,NN
닮다,resemble,JJ
따로 두다,reserve,NN
저항하다,resist,NN
분해하다,resolve,NN
(자주)가다,resort,NN
자원,resource,NN
존경하다,respect,NN
대답하다,respond,NN
책임을 져야할,responsible,JJ
휴식,rest,NN
반환하다,restore,NN
결과,result,NN
퇴직하다,retire,NN
나타내다,reveal,NN
재조사,review,NN
교정하다,revise,NN
소생하다,revive,NN
혁명,revolution,NN
보수,reward,NN
율동,rhythm,NN
쌀,rice,NN
타다,ride,NN
올리다,rise,NN
위험 걸다,risk,NN
경쟁자 경쟁하는 경쟁하다,rival,NN
불에 쬐어 굽다 불고기 구운,roast,NN
"강탈하다, 약탈하다, 빼앗다",rob,NN
(배우의)역,role,NN
구르다,roll,NN
전기소설적인,romantic,JJ
뿌리,root,NN
새끼,rope,NN
거친,rough,NN
둥근 원 돌아서,round,NN
길,route,NN
정해진 일,routine,NN
줄,row,NN
왕의,royal,NN
마찰하다,rub,NN
맛사지사,rubber,NN
버릇없는,rude,NN
파멸,ruin,NN
규칙,rule,NN
소문,rumor,NN
시골의,rural,JJ
돌진하다,rush,NN
신성한,sacred,VBN
희생,sacrifice,NN
돛,sail,NN
봉급 봉급을 주다,salary,NN
위성,satellite,NN
만족시키다,satisfy,NN
비늘(모양의 것),scale,NN
시의 운율을살피다,scan,JJ
추문,scandal,NN
위협하다,scare,NN
장면,scene,NN
계획,scheme,NN
학자,scholar,NN
꾸짖다 잔소리 심한 사람,scold,NN
기다,scramble,JJ
"할퀴다, 할퀴어 상처 를 내다  긁다",scratch,NN
비명을 지르다,scream,NN
병풍,screen,NN
인장,seal,NN
찾다,search,NN
좌석,seat,NN
비밀의,secret,NN
비서,secretary,NN
부채꼴,sector,NN
안전한,secure,NN
씨앗,seed,NN
찾다,seek,NN
-으로 보이다,seem,NN
고르다,select,NN
자기,self,NN
연상의,senior,JJ
감각,sensation,NN
감각,sense,NN
분별있는,sensible,JJ
문장,sentence,NN
분리된,separate,JJ
연속,series,NN
진지한,serious,JJ
섬기다,serve,NN
개회,session,NN
등받이가 높은 긴 의자 놓다,settle,VB
수개의,several,JJ
호된,severe,JJ
꿰매다,sew,NN
성,sex,NN
그늘,shade,NN
그림자,shadow,NN
흔들어 움직이다,shake,NN
au-하겠다,shall,MD
얕은 얕은 곳 얕아지다,shallow,NN
부끄럼,shame,NN
모양,shape,NN
몫,share,NN
날카로운,sharp,JJ
깎다,shave,NN
양,sheep,NN
깔천,sheet,NN
선반,shelf,NN
겉껍질,shell,NN
옮기다,shift,NN
빛나다,shine,NN
쏘다,shoot,NN
물가,shore,NN
어깨,shoulder,NN
외치다,shout,NN
소나기 빗발치듯 퍼붓다(쏟다),shower,NN
닫다,shut,NN
한숨,sigh,NN
광경,sight,NN
부호,sign,NN
중요한,significant,JJ
조용한,silent,NN
비단,silk,NN
어리석은 바보,silly,RB
은,silver,NN
유사한,similar,JJ
단일의,simple,NN
사인,sin,NN
-이래,since,IN
단 하나의,single,JJ
가라앉다,sink,NN
부지,site,NN
장소,situation,NN
숙련,skill,NN
도약,skip,NN
노예 노예처럼 일하다,slave,NN
얇은조각,slice,NN
미끄러지다,slide,NN
호리호리한,slim,NN
(때가)어느덧 지나가다,slip,NN
박살내다,smash,NN
연기,smoke,NN
매끄러운,smooth,NN
뱀,snake,NN
덥석 물다,snap,NN
담그다,soak,NN
비누 비누로 씻다,soap,NN
사회의,social,JJ
사회,society,NN
사회학,sociology,NN
소프트웨어,software,NN
흙,soil,NN
군인,soldier,NN
고체의,solid,JJ
독주,solo,NN
해결하다,solve,NN
약간,somewhat,RB
얼마 안 가서,soon,RB
슬픈,sore,NN
종류,sort,NN
혼,soul,NN
원천,source,NN
여분의,spare,NN
불꽃,spark,NN
특별한,special,JJ
종,species,NNS
특정한,specific,JJ
연설,speech,NN
철자하다,spell,NN
소비하다,spend,NN
잣다,spin,NN
정신,spirit,NN
망쳐놓다,spoil,NN
장소,spot,NN
펴다,spread,NN
정사각형의,square,NN
압착하다,squeeze,NN
안정된,stable,JJ
무대,stage,NN
더럽히다,stain,NN
계단,stairs,NNS
도장,stamp,NN
표준,standard,NN
응시하다,stare,NN
상태,state,NN
역,station,NN
조상,statue,NN
신분,status,NN
확고한,steady,JJ
훔치다,steal,NN
증기,steam,NN
강철,steel,NN
줄기,stem,NN
걷다,step,NN
나무토막,stick,NN
소리가 없는 아직(도),still,RB
줄기,stock,NN
위,stomach,NN
폭풍,storm,NN
stave의 과거(분사),stove,NN
곧은,straight,NN
이상한,strange,NN
용병학,strategy,NN
짚,straw,NN
시내,stream,NN
뻗치다,stretch,NN
엄중한,strict,NN
치다,strike,NN
끈,string,NN
줄무늬,stripe,NN
구조,structure,NN
버둥거리다,struggle,NN
재료,stuff,NN
복종시키다,subject,NN
잠수함,submarine,NN
교외,suburb,NN
성공하다,succeed,VB
이러한,such,JJ
별안간의,sudden,JJ
경험하다,suffer,NN
충분한,sufficient,NN
암시하다,suggest,NN
자살 자살하다,suicide,NN
소송,suit,NN
총계,sum,NN
요약,summary,NN
꼭대기,summit,NN
임시고용배우,super,NN
장려한,superb,NN
뛰어난,superior,JJ
공급하다,supply,NN
지탱하다,support,NN
상상하다,suppose,NN
"확신하는, 확실한 , 틀림없는",sure,NN
표면,surface,NN
외과,surgery,NN
놀람,surprise,NN
에워싸다,surround,NN
둘러보다,survey,NN
살아 남다,survive,NN
짐작하다,suspect,NN
삼키다,swallow,NN
땀,sweat,NN
단,sweet,NN
흔들리다,swing,VBG
회초리,switch,NN
상징,symbol,NN
동정,sympathy,NN
교향곡,symphony,NN
조짐,symptom,NN
조직,system,NN
고패,tackle,NN
손잡이가죽,tag,NN
이야기,tale,NN
재주,talent,NN
가볍게 치기,tap,NN
과녁,target,NN
일,task,NN
귀영나팔,tattoo,NN
세금,tax,NN
차,tea,NN
눈물,tear,NN
10대,teenage,NN
온도,temperature,NN
관자놀이,temple,NN
(-의)경향이 있다,tend,NN
제공,tender,NN
시제,tense,NN
기간,term,NN
종점의,terminal,NN
무시무시한,terrible,JJ
무서운,terrific,NN
영토,territory,NN
원문,text,NN
=theatre 극장,theater,NN
논제,theme,NN
그때,then,RB
이론,theory,NN
그런 까닭에,therefore,RB
두꺼운,thick,NN
도둑,thief,NN
얇은,thin,NN
완전한,thorough,NN
-임에도 불구하고 그러나,though,IN
천,thousand,NN
협박,threat,NN
오싹하다 오싹함,thrill,NN
목,throat,NN
(-을)통하여 통하여 직통의,through,IN
던지다,throw,NN
엄지손가락 엄지손가락으로 만지다,thumb,NN
이렇게,thus,RB
조수,tide,NN
말쑥한,tidy,NN
매다,tie,NN
단단한,tight,NN
-까지,till,NN
주석,tin,NN
자그마한,tiny,JJ
끝,tip,NN
피로하게 하다,tire,NN
조직,tissue,NN
표제,title,NN
담배,tobacco,NN
발가락,toe,NN
화장실,toilet,NN
음조,tone,NN
혀,tongue,NN
사용세,tool,NN
던지다,toss,NN
총계 전체의 합계하다,total,JJ
단단한,tough,JJ
-쪽으로,toward,IN
독의,toxic,NN
발자국,trace,NN
매매,trade,NN
전설,tradition,NN
교통,traffic,NN
비극의,tragic,NN
옮기다,transfer,NN
"변형(변용,변태)시키다",transform,NN
번역하다,translate,NN
수송(운송)하다,transport,NN
덫,trap,NN
쟁반,tray,NN
보물,treasure,NN
대우하다,treat,NN
방향,trend,NN
시험,trial,NN
종족,tribe,NN
책략,trick,NN
승리,triumph,NN
대,troop,NN
전리품,trophy,NN
고생,trouble,NN
즈봉,trouser,NN
줄기,trunk,NN
신용,trust,NN
진리,truth,NN
관,tube,NN
곡,tune,NN
터널,tunnel,NN
가정교사,tutor,NN
쌍동이,twin,NN
꼬이다,twist,NN
전형적인,typical,JJ
최후의,ultimate,JJ
한결같은,uniform,NN
하나로 하다,unify,NN
결합,union,NN
유일무이한,unique,NN
단위,unit,NN
결합하다,unite,JJ
우주,universe,NN
종합대학(교) 대학의(에 관계 있는),university,NN
-하지 않으면,unless,IN
-까지,until,IN
새롭게 하다 최신정보,update,NN
-의 위에,upon,IN
위쪽의,upper,JJ
뒤집어 엎다,upset,NN
위로 향한,upward,RB
도시의,urban,JJ
몰아대다,urge,NN
긴급한,urgent,NN
평소의,usual,JJ
휴가,vacation,NN
진공,vacuum,NN
골짜기,valley,NN
가치,value,NN
유개트럭,van,NN
가지가지의,various,JJ
바꾸다,vary,NN
"광대한, 광막한 막대한",vast,NN
"운반 기구, 운송 수단,  수레, 차량, 탈것",vehicle,NN
모험,venture,NN
"번역, 번역문 개작, 각색, 번안",version,NN
"…대, …에 대한",versus,NN
"…을 거쳐, …을 경유하여",via,IN
"희생, 산 제물, 인신 제물",victim,NN
"승리, 전승",victory,NN
"봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야",view,NN
"마을, 촌락",village,NN
"격렬한, 맹렬한",violent,NN
"눈에 보이는,  볼 수 있는",visible,JJ
"시각의, 물건을 보기 위한",visual,JJ
"어휘, 용어수, 용어 범위",vocabulary,JJ
책  권,volume,NN
"자발적인, 수의의",voluntary,JJ
"찬부 표시, 투표, 표결",vote,NN
여행,voyage,NN
임금,wage,NN
경고하다,warn,NN
낭비하다,waste,NN
물결,wave,NN
약한,weak,JJ
재산,wealth,NN
무기,weapon,NN
무게를 달다,weigh,NN
불가사의한,weird,NN
행복,welfare,NN
고래,whale,NN
밀,wheat,NN
바퀴,wheel,NN
-인지 어떤지,whether,IN
어느 쪽,which,WDT
동안 -하는 동안,while,IN
속삭이다,whisper,NN
휘파람,whistle,NN
전체의,whole,JJ
폭넓은,wide,JJ
널리 보급되어 있는,widespread,JJ
야생의,wild,NN
날개,wing,VBG
닦다,wipe,NN
철사,wire,NN
슬기로운,wise,NN
기지,wit,NN
prop.-의 안쪽에 안으로 내부,within,IN
prop.-없이 밖은,without,IN
증언,witness,NN
경이,wonder,NN
양모,wool,NN
숭배,worship,NN
가치가 있는 가치,worth,NN
auwill의 과거,would,MD
부상,wound,NN
싸다,wrap,NN
고함치다,yell,NN
아직,yet,RB
대,zone,NN
